User,Rating,Date,Review
Hardiyanti Rukmana,1,2024-08-12 10:10:57,"Banyak drivernya attitude nya kurang,,mohon tambahkan tombol pengaduan atau keluhan di aplikasi"
DAENG MANGKASARA,5,2024-08-12 03:27:57,terima kasih
Anda Hetty,5,2024-08-11 13:25:12,mAntap
St aisyah Arief nur,5,2024-08-11 11:12:42,oke
Hasmawati Hana,5,2024-08-11 10:26:20,bgus
UD FADHILLAH,5,2024-08-11 09:12:55,anak 2 seneng naik maxiride
Ngai 0,5,2024-08-11 07:41:57,Sangat baik dan cocok pas hujan
tipa nanda,5,2024-08-11 06:45:48,sopan
Subhan nuhung,5,2024-08-11 05:39:07,Makasih pak mantap
Mas Riany,5,2024-08-10 12:56:58,mantap bajainya
nurlenni maswanna,5,2024-08-10 12:45:25,pelayanan driver nya baik sekali
Hamriah Yusuf,4,2024-08-10 04:11:23,dreriver bagus dan rama
Bang Faiz,1,2024-08-10 03:29:16,Jelek sekali
bukan hoax,2,2024-08-10 02:09:52,Ampungka pake ini apk drivernya rata2 nda tau pake maps.
Ramlah 92,5,2024-08-10 00:33:38,pelayanan sangat bagus.nyaman
Adri anti,3,2024-08-09 13:29:32,lumayan
Muh Raihan annasir Raihan,5,2024-08-09 11:41:01,nyaman
sukma Larah,5,2024-08-09 11:21:00,baik dan ramah
ryan endang,5,2024-08-09 08:00:53,ramah
Dewi Elizabeth,5,2024-08-09 07:22:21,The best ride cycles
Miftahul Ichsan,5,2024-08-09 06:46:50,bagus
Widya Permata Sari,5,2024-08-09 02:55:43,keren
Austin Adjeng,4,2024-08-09 02:43:23,mantul
yuliana kasir,5,2024-08-09 02:07:14,mantap pak
Athy Nurhayati,5,2024-08-09 01:16:39,klau boleh diadakan promo juga😊😊🤭
Sudarti Putri,5,2024-08-09 00:36:39,cepat tepat
Tojang Idris,5,2024-08-08 23:59:23,Good
Olvia Haria,5,2024-08-08 10:33:58,sopan
Norma Syam,5,2024-08-08 06:34:56,tepat waktu
Nur Lina,5,2024-08-08 05:58:56,baik
Nita Peon,5,2024-08-08 05:04:55,sopan dan ramah sopir driverx
aeidyl. rwin,5,2024-08-08 04:18:05,sangat memudahkn bagi ibuk ibu punya anak 2😊
Subaedah Subedah,5,2024-08-08 00:17:59,goodjob
Scorpio 29,5,2024-08-07 08:50:19,sopan dan ramah
Gita Ramadhanty,5,2024-08-07 05:32:35,sopan dan ranah
Aksa Aksa,5,2024-08-07 04:02:30,semoga jadi lebih baik lagi
Asfah,5,2024-08-06 12:38:15,"Maa saya Allah, menyenangkan naik maxride"
Asti ahmad,5,2024-08-06 04:13:53,maxride nya cepat tiba dan sopirnya ramah makasih sudah mempermudah perjalanku hari ini
Andi Hudiah,5,2024-08-05 09:45:19,mantap sekali
Dasmira Daraba,5,2024-08-05 07:01:04,sangat nyaman
Sukma Wati,5,2024-08-05 02:23:07,trima ksih bxk atas tumpanganx
muhammad alwi,5,2024-08-04 23:45:44,sangat menyenangkan naik bajaj
Melkiana Boro,5,2024-08-04 13:05:50,bagus
Andriani Rusdin,3,2024-08-04 11:20:18,kendaraan tdk sampai pada alamat penjemputan.. agak lama kita menunggu
silfi fia,5,2024-08-04 11:16:15,bagus
Aci Basri,5,2024-08-04 07:50:26,sopan dan ramah
Husna ima Pampanoa,5,2024-08-04 07:47:36,baik
Leya Cataleya,5,2024-08-04 04:45:58,"supir bajai nya ramah, responnya cepat dan aman sampai rumah....alhamdulillah"
Wahida Idrus,5,2024-08-04 03:10:52,sangat baik
rida wati,5,2024-08-03 23:57:41,pokoknya bagus👍👍👍
Fadhila Dhila,5,2024-08-03 12:43:36,ramah dan sopan .
Maria Kodoatie,5,2024-08-03 10:44:52,aman
Syahr Channel,5,2024-08-03 08:22:18,cepat
Rosdiana Diana,5,2024-08-03 07:56:57,"baik,ramah"
